[INFO] [1784656203.906422, 0.937000]: HR_KFE: 3.2767455587387087
[INFO] [1784656203.917253, 0.944000]: HR_AFE: -3.7303688663482664
[INFO] [1784656203.922996, 0.950000]: FL_HAA: -0.01755961962044239
[INFO] [1784656203.931695, 0.953000]: FL_HFE: 1.2104785444259645
[INFO] [1784656203.938852, 0.961000]: FL_KFE: -2.365066401100159
[INFO] [1784656203.947236, 0.965000]: FR_HAA: 0.3656414747238159
[INFO] [1784656203.953071, 0.965000]: FR_HFE: 1.2144048811912538
[INFO] [1784656203.961167, 0.965000]: FR_KFE: -2.521188012695313
[INFO] [1784656203.967151, 0.965000]: HL_HAA: -0.20805294811725616
[INFO] [1784656203.975433, 0.965000]: HL_HFE: -0.9763415747642518
[INFO] [1784656203.982782, 0.965000]: HL_KFE: 3.1793069849014284
[INFO] [1784656203.992152, 0.965000]: HL_AFE: -3.5208819049835203
[INFO] [1784656203.999064, 0.965000]: HR_HAA: 0.43660682439804077
[INFO] [1784656204.002468, 0.965000]: HR_HFE: -1.2430547171592714
[INFO] [1784656204.009822, 0.965000]: HR_KFE: 3.325700164794922
[INFO] [1784656204.014441, 0.965000]: HR_AFE: -3.8017661708831785
[INFO] [1784656204.022358, 0.965000]: FL_HAA: -0.02114405483007431
[INFO] [1784656204.026800, 0.965000]: FL_HFE: 1.221760094356537
[INFO] [1784656204.032404, 0.965000]: FL_KFE: -2.376656166648865
[INFO] [1784656204.037164, 0.965000]: FR_HAA: 0.36691051721572876
[INFO] [1784656204.040268, 0.965000]: FR_HFE: 1.2215155961036683
[INFO] [1784656204.045935, 0.965000]: FR_KFE: -2.532336465454102
